
SUBSTR(T.CALLER,1,7)					   COUNT(*)
0046737 							331
0046738 							  9
0046739 							456
0046762 							310
0046763 							  5
0046768 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0047400 							  1
0047404 							 15
0047410 							  3
0047411 							  2
0047412 							 14
0047414 							  2
0047415 							  3
0047450 							  6
0047452 							 41
0047454 							 16
0047456 							 26

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0047464 							  8
0047466 							  2
0047470 							  2
0047472 							 10
0047473 							 40
0047476 							  2
0047478 							 24
0047480 							 24
0047481 							  5
0047482 							 13
0047483 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0047900 							  8
0047901 							  3
0047906 							  1
0047908 							  1
0047909 							  3
0047917 							  3
0047920 							  3
0047926 							  1
0047936 							 22
0047942 							  2
0047951 							 10

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0047957 							  5
0047958 							  1
0047959 							  1
0047966 							 21
0047971 							  7
0047975 							  2
0047976 							  1
0047977 							 14
0047980 							 26
0047984 							  8
0047986 							 47

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0047988 							 20
0047990 							  2
0047991 							  3
0047993 							  1
0047994 							  6
0047995 							 21
0047996 							  1
0047998 							 40
0048500 							  1
0048501 							  2
0048502 							  2

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0048503 							  5
0048505 							  1
0048508 							  6
0048603 							  5
0048607 							  2
0048609 							  2
0048661 							  4
0048663 							  3
0048668 							  6
0048693 							  1
0048697 							  3

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0048885 							  2
0049151 							154
0049152 							  1
0049160 							103
0049162 							  2
0049163 							  5
0049170 							 69
0049171 							 36
0049172 							  2
0049173 							 14
0049175 							 76

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0049176 							893
0049177 							  1
0049178 							  4
0049179 							382
0049220 							  1
0049617 							  1
0049631 							  1
0049640 							  1
0052636 							  5
0054221 							 23
0060122 							  6

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0060123 							 11
0060124 							  5
0060126 							  5
0060127 							  2
0060129 							 21
0060172 							 35
0060173 							 12
0060176 							  4
0061402 							  3
0061421 							  1
0061423 							  4

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0061431 							  1
0061432 							  2
0061434 							  4
0062811 							  2
0062812 							  5
0062813 							 39
0062852 							  4
0063906 							135
0063915 							168
0063916 							104
0063917 							 92

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0063921 							  1
0063926 							 55
0063927 							 84
0064274 							  2
0065432 							 11
0065815 							  1
0065817 							  1
0065901 							  6
0065938 							  2
0065961 							  2
0065968 							  4

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0065974 							  1
0065976 							  5
0065986 							  2
0065988 							 15
0066119 							  2
0066127 							  1
0066130 							  2
0066143 							  2
0066153 							  2
0066157 							  3
0066165 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0066167 							  2
0066168 							  1
0066171 							  2
0066177 							 16
0066183 							  2
0066188 							  1
0066189 							  1
0066192 							  3
0066311 							  1
0066466 							  1
0066490 							  3

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0066491 							  6
0066500 							  2
0066502 							  1
0066512 							  1
0066527 							  5
0066577 							  3
0066598 							  2
0066600 							  4
0066601 							  4
0066611 							  1
0066615 							 11

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0066651 							  1
0066677 							  1
0066689 							  1
0066690 							  8
0066697 							  2
0066700 							 20
0066709 							  3
0066710 							  1
0066725 							  4
0066777 							  2
0066780 							  2

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0066783 							  2
0066793 							  4
0066794 							  1
0066901 							 12
0066905 							  1
0066928 							 11
0066960 							  1
0066961 							 18
0066969 							  1
0066974 							  7
0067993 							  9

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0073005 							 34
0074957 							  9
0077012 							  1
0079024 							 14
0079033 							  4
0079036 							  6
0079045 							  6
0079055 							  2
0079057 							  3
0079062 							  4
0079064 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0079069 							  3
0079081 							  2
0079086 							 10
0079090 							  4
0079092 							  1
0079097 							  3
0079099 							  1
0079213 							  1
0079216 							  3
0079242 							  3
0079261 							 11

